Unnamed: 0,ID,URL,Type,Label,Content,Image_Name
0,1498022438398877704,https://twitter.com/manuela_carloni/status/1498022438398877704,tweet,1,Dopo aver hackerato la tv di Stato sostituendo immagini di propaganda con quelle vere si sono rivolti direttamente a Putin “Contro di noi non puoi vincere” e ai soldati sul fronte con un appello a deporre le armi. Oggi si può combattere una guerra senza sparare un colpo. Rispetto https://t.co/NcPXUYgzHX,1498022438398877704.jpg
1,1498003150414008322,https://twitter.com/Silvano05230100/status/1498003150414008322,tweet,2,"Error: Tweet could not be scraped (Page.wait_for_selector: Timeout 10000ms exceeded.
Call log:
waiting for locator(""[data-testid='tweet']"") to be visible
)",
2,1497887473862467584,https://twitter.com/barbarameletto/status/1497887473862467584,tweet,2,"#flowers #lovers
Fate l'amore non fate la guerra.
Marc Chagall, ""Il mazzo di fiori degli amanti"", 1926.
#art #painting #marcchagall #NoWars https://t.co/XahcLle4SK",1497887473862467584.jpg
3,1497838543619645441,https://twitter.com/_dani_ta_6/status/1497838543619645441,tweet,2,"Se solo tutti mostrassimo più amore e comprensione forse non avremmo bisogno di combattere le guerre con bombe e armi.

Per quanto è possibile passate una buona domenica, tutti i nostri pensieri sono rivolti al popolo Ucraino. 🙏❤️
#PACE #NoWar 
#buongiorno #goodmorning #CanYaman https://t.co/TpnzNEP8m5",1497838543619645441.jpg
4,1497639979534667783,https://twitter.com/GabrieleGranato/status/1497639979534667783,tweet,2,"Chi sono i soldati che vediamo nei video? Sono manipolati o veri? Russi con le uniformi ucraine o viceversa?

L'IA può fare chiarezza identificando le persone in una necessaria azione di #debunking e fact checking.

Nell'infosfera la guerra è anche informativa. #fakenews https://t.co/MjbRSI7U4H",1497639979534667783.jpg
5,1497624763396546561,https://twitter.com/nonleggerlo/status/1497624763396546561,tweet,1,"Non credevo che #Salvini potesse peggiorare la propria posizione, l'amore per Putin, i successivi silenzi, il mazzo di fiori in ambasciata, la serata Pizza-maracaibo con la guerra a Kiev, ma c'è riuscito.

""Questo sì"", durante la festosa pizzata ""abbiamo parlato di Ucraina"". https://t.co/KnrarfCSlB",1497624763396546561.jpg
6,1497614216827711495,https://twitter.com/CorriereUmbria/status/1497614216827711495,tweet,3,"Guerra in Ucraina: battaglia nelle strade di Kiev. L'appello di Zelensky: ""Difendiamo la capitale, arrivano le armi"". | Diretta, video e foto #ucraina #russia #guerra #kiev #morti #feriti #ucraina-russia #putin #RussiaUkraineConflict  https://t.co/7Ayrz7Zyov https://t.co/duZ43wHcVP",1497614216827711495.jpg
7,1497599806201647105,https://twitter.com/sulsitodisimone/status/1497599806201647105,tweet,1,"Guerra Ucraina-Russia, armi ai civili a Kiev - Video https://t.co/YX8XzeHEzI https://t.co/x19XkMWbGz",1497599806201647105.jpg
8,1497598337570074626,https://twitter.com/fisco24_info/status/1497598337570074626,tweet,1,"Guerra Ucraina-Russia, armi ai civili a Kiev - Video: (Adnkronos) - Distribuzione di armi a chiunque faccia richiesta https://t.co/oV4spuY0o6 https://t.co/WgOjeGKYSw",1497598337570074626.jpg
9,1497555006286872584,https://twitter.com/qgiovi/status/1497555006286872584,tweet,2,"Quarta. All'inizio di questa settimana, migliaia di utenti dei social media hanno affermato falsamente che questo video mostrava la guerra tra Russia e Ucraina, ma è un video del videogioco ""Arma 3"" https://t.co/MLnc7h3epQ sempre canale Rossella Fidanza https://t.co/M5ux3fCBsr",1497555006286872584.jpg
10,1497521878319042560,https://twitter.com/michael_goldmrk/status/1497521878319042560,tweet,2,"FAKE NEWS ITALIANE 

All'inizio di questa settimana, migliaia di utenti dei social media hanno affermato falsamente che questo video mostrava la guerra tra Russia e Ucraina, ma è un video del videogioco ""Arma 3"" https://t.co/nchRA0qotO https://t.co/e5WliVN0RD",1497521878319042560.jpg
11,1497493024695152645,https://twitter.com/ilSicilia/status/1497493024695152645,tweet,3,"#Cronaca #fakenews Ucraina, Francesco Pira (UNIME): “In atto due guerre, una con le armi e l’altra con le fake news” CLICCA PER IL VIDEO https://t.co/HTSU5xBPMk https://t.co/dwjhjb3X0T",1497493024695152645.jpg
12,1497491399620636678,https://twitter.com/oggitreviso/status/1497491399620636678,tweet,2,"L’Ucraina vista dal web: video, foto e messaggi in tempo di guerra https://t.co/NsUxVX4bs7 https://t.co/iZ8LjRLqU8",1497491399620636678.jpg
13,1497469243062771717,https://twitter.com/fisco24_info/status/1497469243062771717,tweet,3,"Guerra Ucraina-Russia, Zelensky: ""Mai ordinato resa"" - Video: (Adnkronos) - Nuovo video del presidente ucraino: ""Sono qui. Non deporremo le armi"" https://t.co/shhsG5UzTe https://t.co/MpVEHM3g5i",1497469243062771717.jpg
14,1497225578528784396,https://twitter.com/blogsicilia/status/1497225578528784396,tweet,0,"#notizie #sicilia
Guerra in Ucraina, donna sfida soldato russo, ""sarai presto un fertilizzante"" (VIDEO) - https://t.co/C7vYMxRdoF https://t.co/8XC5ql8NXw",1497225578528784396.jpg
15,1496958201270616073,https://twitter.com/gmorsello_/status/1496958201270616073,tweet,3,"Error: Tweet could not be scraped (Page.wait_for_selector: Timeout 10000ms exceeded.
Call log:
waiting for locator(""[data-testid='tweet']"") to be visible
)",
16,1496883123354804225,https://twitter.com/OliviaBucca/status/1496883123354804225,tweet,1,"Ucraina, il video straziante del soldato prima dell'arrivo dei razzi russi fa il giro del web: “Mamma e papà vi amo” 💔⬇️⬇️⬇️ https://t.co/EInCm35jg5",1496883123354804225.jpg
17,1496839348016201729,https://twitter.com/quotidianodirg/status/1496839348016201729,tweet,1,"#DalMondo #bombardamenti Guerra Ucraina, catturati soldati Russia: foto prigionieri e VIDEO bombardamenti https://t.co/jDAnFDnddU https://t.co/zE9o0n2Tnr",1496839348016201729.jpg
18,1496810148177670148,https://twitter.com/SecolodItalia1/status/1496810148177670148,tweet,2,La guerra “live” sul web: missile russo si abbatte tra le urla di paura su un aeroporto dell’Ucraina (video) https://t.co/HSj6k68Q02 https://t.co/YLgDmFqpr6,1496810148177670148.jpg
19,1496781589338066945,https://twitter.com/quotidianodirg/status/1496781589338066945,tweet,2,"#DalMondo #bombardamento Guerra Russia Ucraina, soldato dopo bombardamento fa appello ai genitori VIDEO https://t.co/KMwDKsJYHi https://t.co/BTFNywvBdr",1496781589338066945.jpg
20,1496772412897067014,https://twitter.com/lettera_mosca/status/1496772412897067014,tweet,1,"Gli appelli russi ai soldati ucraini: ""L'Ucraina ha combattuto per 8 anni contro la Russia. In 6 ore la Russia ha eliminato: l'intera flotta ucraina; tutte le basi e i porti della marina;... Soldato ucraino! Butta le armi e vai a casa"". #russia #ucraina #guerra https://t.co/q0sKhFZHdu",1496772412897067014.jpg
